IGRP,PLANT,RFURB,RYR,ECP,SUMCAP,WINCAP,FUELTYPE,COOLTECH,UNITTECH,WATERSOURCE,FUELREG,HUC8,HUC8_QGIS,LAT,LON
5377,7807,1994,999912,HY,2,2,HY,NA,HY,Surface,4,05080002_OH,05080002_OH,-84.556,39.413
5378,7810,1929,999912,HY,0.1,0.1,HY,NA,HY,Surface,5,07090003_WI,07090003_WI,-89.87,42.702
5379,7810,2004,999912,ET,2,2,NN,NA,NN,Unknown,5,07090003_WI,07090003_WI,-89.87,42.702
5380,7813,2000,999912,ET,433.5,539.1,NG,NA,CT,Surface,14,03150105_GA,03150105_GA,-85.277,33.948
5381,7814,2003,999912,ET,4.8,4.8,OL,NA,CT,Surface,12,03050107_SC,03050107_SC,-81.492,34.557
5382,7818,1999,999912,ET,121,135.8,NG,NA,CT,Surface,5,07130011_IL,07130011_IL,-90.436,39.57
5383,7820,1949,999912,HY,10.4,10.4,HY,NA,HY,Surface,5,04030108_MI,04030108_MI,-88.041,45.788
5384,7821,1914,999912,HY,0.2,0.2,HY,NA,HY,Surface,5,04030108_MI,04030108_MI,-88.041,45.788
5385,7822,1940,999912,HY,4.8,4.8,HY,NA,HY,Surface,5,04030204_WI,04030204_WI,-88.272,44.282
5386,7824,1979,999912,ET,24.1,24.1,NG,NA,CT,Surface,23,18100204_CA,18100200_CA,-115.536,32.955
5387,7824,1980,999912,ET,23,23,OL,NA,CT,Surface,23,18100204_CA,18100200_CA,-115.536,32.955
5388,7825,2001,999912,ET,153,153,NG,NA,CT,Surface,18,11140201_AR,11140201_AR,-93.792,33.609
5389,7826,2001,999912,ET,462,534,NN,NA,NN,Unknown,12,03040102_NC,03040102_NC,-80.602,35.731
5390,7826,2003,999912,EC,462.5,503,NG,RC,CC,Surface,12,03040102_NC,03040102_NC,-80.602,35.731
5392,7827,2000,999912,ET,1.8,1.8,OL,NA,CT,Surface,4,05040002_OH,05040002_OH,-82.663,40.897
5393,7828,2000,999912,ET,1.7,1.8,OL,NA,CT,Surface,4,05010009_OH,05040002_OH,-82.653,40.909
5394,7829,1999,999912,ET,190.6,239,NG,NA,CT,Surface,14,03070103_GA,03070103_GA,-83.846,32.984
5395,7831,2000,999912,ET,2.8,2.8,NN,NA,NN,Unknown,5,04060200_MI,04060200_MI,-85.526,45.599
5396,7832,1999,999912,MS,36.5,36.5,BG,NA,CT,Groundwater,22,17070101_WA,17070101_WA,-120.164,45.803
5397,7834,2001,999912,EC,460,530,NG,RC,CC,Surface,12,03060103_SC,03060103_SC,-82.776,34.348
5398,7834,2002,999912,ET,292,360,NG,NA,CT,Surface,12,03060103_SC,03060103_SC,-82.776,34.348
5399,7834,2004,999912,ET,225,270,NG,NA,CT,Surface,12,03060103_SC,03060103_SC,-82.776,34.348
5401,7835,2003,999912,ET,658,751.4,NG,NA,CT,Surface,13,02050306_MD,02050306_MD,-76.16,39.719
5402,7836,2004,999912,ET,480.1,561,NG,NA,CT,Surface,12,02080103_VA,02080103_VA,-77.768,38.528
5403,7837,2003,999912,ET,465.5,555,NG,NA,CT,Surface,12,02080106_VA,02080106_VA,-78.214,38.118
5404,7838,2000,999912,ET,608,748,NG,NA,CT,Surface,12,02080103_VA,02080103_VA,-77.771,38.544
5405,7839,2001,999912,ET,783,915,NG,NA,CT,Surface,12,02080105_VA,02080105_VA,-77.513,38.072
5406,7842,2000,999912,ET,47,48,NG,NA,CT,Surface,5,07140202_IL,07140202_IL,-88.859,39.103
5407,7843,2001,999912,ET,419.4,485.9,NG,NA,CT,Surface,8,07040008_MN,07040008_MN,-92.683,43.799
5408,7844,2001,999912,ET,39,39,NG,NA,CT,Surface,8,07020012_MN,07020012_MN,-93.586,44.796
5409,7845,2010,999912,EC,525,615,NG,NA,CT,Groundwater,16,08010208_TN,08010208_TN,-89.396,35.658
5410,7845,2001,999912,ET,882,1125.6,NG,NA,CT,Groundwater,16,08010208_TN,08010208_TN,-89.396,35.658
5412,7846,2001,999912,ET,158.6,191.2,NN,NA,NN,Unknown,15,03070204_FL,03070204_FL,-81.949,30.321
